intent_key,category,language,ja_question,ja_answer,en_question,en_answer,question,answer,len_question,len_answer,over_150,over_500
basic_quiet_hours,basic,zh-TW,夜間の静音ルールはありますか？,22時以降は他のゲストへの配慮をお願いします。通話や会話は共用スペースで行ってください。,Is there a quiet rule at night?,Please keep noise to a minimum after 10:00 PM. Phone calls and conversations should be done in common areas.,晚上有安靜規定嗎？,晚上10點後請您盡量保持安靜。請在公共區域講電話或交談。,9,28,,
basic_quiet_hours,basic,fr,夜間の静音ルールはありますか？,22時以降は他のゲストへの配慮をお願いします。通話や会話は共用スペースで行ってください。,Is there a quiet rule at night?,Please keep noise to a minimum after 10:00 PM. Phone calls and conversations should be done in common areas.,Y a-t-il des règles de calme la nuit ?,Veuillez garder le silence après 22h00. Les appels et conversations doivent se faire dans les espaces communs.,38,110,,
basic_quiet_hours,basic,ko,夜間の静音ルールはありますか？,22時以降は他のゲストへの配慮をお願いします。通話や会話は共用スペースで行ってください。,Is there a quiet rule at night?,Please keep noise to a minimum after 10:00 PM. Phone calls and conversations should be done in common areas.,밤에 정숙 규칙이 있나요?,오후 10시 이후에는 조용히 해 주세요. 전화나 대화는 공용 공간에서 해 주세요.,14,45,,
basic_smoking_policy,basic,zh-TW,館内での喫煙ルールを教えてください。,建物内は全面禁煙です。指定された屋外喫煙場所のみ利用できます。,What is the smoking policy?,Smoking is prohibited inside the building. Please use the designated outdoor smoking area.,請問館內吸菸規定？,建築物內全面禁菸。請您使用指定的室外吸菸區。,9,22,,
basic_smoking_policy,basic,fr,館内での喫煙ルールを教えてください。,建物内は全面禁煙です。指定された屋外喫煙場所のみ利用できます。,What is the smoking policy?,Smoking is prohibited inside the building. Please use the designated outdoor smoking area.,Quelle est la politique en matière de tabac ?,Il est interdit de fumer dans le bâtiment. Veuillez utiliser l'espace fumeurs à l'extérieur.,45,92,,
basic_smoking_policy,basic,ko,館内での喫煙ルールを教えてください。,建物内は全面禁煙です。指定された屋外喫煙場所のみ利用できます。,What is the smoking policy?,Smoking is prohibited inside the building. Please use the designated outdoor smoking area.,흡연 규정이 어떻게 되나요?,건물 내부는 금연입니다. 지정된 야외 흡연 구역을 이용해 주세요.,15,36,,
basic_common_areas,basic,zh-TW,共用スペースは誰でも使えますか？,宿泊中のゲストであれば自由に利用できます。長時間の占有はご遠慮ください。,Can anyone use the common areas?,All staying guests may use them freely. Please avoid occupying them for long periods.,共用區域誰都可以使用嗎？,住宿中的房客均可自由使用。請勿長時間佔用。,12,21,,
basic_common_areas,basic,fr,共用スペースは誰でも使えますか？,宿泊中のゲストであれば自由に利用できます。長時間の占有はご遠慮ください。,Can anyone use the common areas?,All staying guests may use them freely. Please avoid occupying them for long periods.,Les espaces communs sont-ils accessibles à tous ?,Tous les clients peuvent les utiliser librement. Veuillez éviter de les occuper longtemps.,49,90,,
basic_common_areas,basic,ko,共用スペースは誰でも使えますか？,宿泊中のゲストであれば自由に利用できます。長時間の占有はご遠慮ください。,Can anyone use the common areas?,All staying guests may use them freely. Please avoid occupying them for long periods.,공용 공간은 누구나 사용할 수 있나요?,투숙객이라면 자유롭게 이용하실 수 있습니다. 장시간 독점 사용은 자제해 주세요.,21,44,,
basic_enter_other_rooms,basic,zh-TW,他のゲストの部屋に入ってもいいですか？,セキュリティ上、他のゲストの部屋への立ち入りは禁止しています。,Can I enter another guest's room?,"For security reasons, entering other guests' rooms is not allowed.",可以進入其他房客的房間嗎？,基於安全考量，禁止進入其他房客的房間。,13,19,,
basic_enter_other_rooms,basic,fr,他のゲストの部屋に入ってもいいですか？,セキュリティ上、他のゲストの部屋への立ち入りは禁止しています。,Can I enter another guest's room?,"For security reasons, entering other guests' rooms is not allowed.",Puis-je entrer dans la chambre d'un autre client ?,"Pour des raisons de sécurité, l'accès aux chambres des autres clients est interdit.",50,83,,
basic_enter_other_rooms,basic,ko,他のゲストの部屋に入ってもいいですか？,セキュリティ上、他のゲストの部屋への立ち入りは禁止しています。,Can I enter another guest's room?,"For security reasons, entering other guests' rooms is not allowed.",다른 투숙객 방에 들어가도 되나요?,보안상 다른 투숙객의 방 출입은 금지되어 있습니다.,19,28,,
basic_drinking_alcohol,basic,zh-TW,館内で飲酒しても問題ありませんか？,節度を守っていただければ可能です。騒音や迷惑行為は禁止です。,Is drinking alcohol allowed inside the property?,"Yes, as long as it is done responsibly. Please avoid noise or disturbing behavior.",館內可以飲酒嗎？,可以，請適量並自律。請勿喧嘩或造成他人困擾。,8,22,,
basic_drinking_alcohol,basic,fr,館内で飲酒しても問題ありませんか？,節度を守っていただければ可能です。騒音や迷惑行為は禁止です。,Is drinking alcohol allowed inside the property?,"Yes, as long as it is done responsibly. Please avoid noise or disturbing behavior.",La consommation d'alcool est-elle autorisée ?,"Oui, avec modération. Veuillez éviter le bruit et les comportements gênants.",45,76,,
basic_drinking_alcohol,basic,ko,館内で飲酒しても問題ありませんか？,節度を守っていただければ可能です。騒音や迷惑行為は禁止です。,Is drinking alcohol allowed inside the property?,"Yes, as long as it is done responsibly. Please avoid noise or disturbing behavior.",숙소 안에서 음주해도 되나요?,"네, 절도 있게 드시면 됩니다. 소음이나 다른 분께 불편을 주는 행위는 자제해 주세요.",16,48,,
basic_contact_during_stay,basic,zh-TW,滞在中の問い合わせはどこから行えばいいですか？,滞在中はこのチャットをご利用ください。チェックアウト後は対応できません。,How can I contact you during my stay?,Please use this chat during your stay. Support is not available after check-out.,住宿期間如何聯絡？,住宿期間請您使用此聊天功能。退房後無法提供支援。,9,24,,
basic_contact_during_stay,basic,fr,滞在中の問い合わせはどこから行えばいいですか？,滞在中はこのチャットをご利用ください。チェックアウト後は対応できません。,How can I contact you during my stay?,Please use this chat during your stay. Support is not available after check-out.,Comment vous contacter pendant mon séjour ?,Veuillez utiliser ce chat pendant votre séjour. Le support n'est pas disponible après le départ.,43,96,,
basic_contact_during_stay,basic,ko,滞在中の問い合わせはどこから行えばいいですか？,滞在中はこのチャットをご利用ください。チェックアウト後は対応できません。,How can I contact you during my stay?,Please use this chat during your stay. Support is not available after check-out.,숙박 중 문의는 어떻게 하나요?,숙박 중에는 이 채팅을 이용해 주세요. 체크아웃 후에는 지원이 불가합니다.,17,41,,
basic_before_checkout,basic,zh-TW,チェックアウト前にやるべきことは何ですか？,私物の回収、ゴミの処分、備品の返却をお願いします。,What should I do before check-out?,"Please collect your belongings, dispose of trash, and return any provided items.",退房前需要做什麼？,請您收拾個人物品、處理垃圾，並歸還借用備品。,9,22,,
basic_before_checkout,basic,fr,チェックアウト前にやるべきことは何ですか？,私物の回収、ゴミの処分、備品の返却をお願いします。,What should I do before check-out?,"Please collect your belongings, dispose of trash, and return any provided items.",Que dois-je faire avant le départ ?,"Veuillez récupérer vos affaires, jeter les déchets et rendre les articles fournis.",35,82,,
basic_before_checkout,basic,ko,チェックアウト前にやるべきことは何ですか？,私物の回収、ゴミの処分、備品の返却をお願いします。,What should I do before check-out?,"Please collect your belongings, dispose of trash, and return any provided items.",체크아웃 전에 무엇을 해야 하나요?,"개인 소지품을 챙기시고, 쓰레기를 처리하시며, 빌려 쓰신 비품을 반납해 주세요.",19,44,,
