category,intent_key,priority,is_active,language_ja_question,language_ja_answer,language_en_question,language_en_answer,language_fr_question,language_fr_answer,language_zh-TW_question,language_zh-TW_answer
basic,basic_checkout_time,5,true,チェックアウトは何時ですか？,チェックアウトは11時までです。,What time is check-out?,Check-out is by 11:00 AM.,À quelle heure est le check-out ?,Le check-out est jusqu'à 11h.,退房時間是幾點？,退房時間是上午11點。
basic,basic_wifi_password,5,true,WiFiパスワードは何ですか？,WiFiパスワードはguest2024です。ネットワーク名は「GuestHouse-WiFi」です。,What is the WiFi password?,"The WiFi password is guest2024. The network name is ""GuestHouse-WiFi"".",Quel est le mot de passe WiFi ?,Le mot de passe WiFi est guest2024. Le nom du réseau est « GuestHouse-WiFi ».,WiFi密碼是什麼？,WiFi密碼是guest2024。網路名稱是「GuestHouse-WiFi」。
basic,basic_breakfast,4,true,朝食は付いていますか？,朝食は有料オプションです。前日までにお申し込みいただければ、1食800円でご用意いたします。,Is breakfast included?,"Breakfast is available as a paid option. If you order by the day before, we can prepare it for 800 yen per meal.",Le petit-déjeuner est-il inclus ?,"Le petit-déjeuner est en option payante. Si vous commandez la veille, nous pouvons le préparer pour 800 yens par repas.",早餐包含在內嗎？,"早餐是付費選項。如果您在前一天訂購,我們可以以每餐800日元的價格為您準備。"
facilities,facilities_iron,3,true,アイロンはありますか？,アイロンは1階のランドリールームにあります。無料でご利用いただけます。,Do you have an iron?,We have an iron in the laundry room on the 1st floor. It's free to use.,Avez-vous un fer à repasser ?,Nous avons un fer dans la buanderie au 1er étage. L'utilisation est gratuite.,有熨斗嗎？,我們在一樓的洗衣房有熨斗。免費使用。
facilities,facilities_kitchen,4,true,キッチンは使えますか？,キッチンは24時間利用可能です。調理器具や食器も揃っています。冷蔵庫もご自由にお使いください。,Can I use the kitchen?,"The kitchen is available 24 hours. We have cooking utensils and dishes. Please feel free to use the refrigerator.",Puis-je utiliser la cuisine ?,"La cuisine est disponible 24h/24. Nous avons des ustensiles et de la vaisselle. N'hésitez pas à utiliser le réfrigérateur.",我可以使用廚房嗎？,廚房24小時開放。我們有烹飪用具和餐具。請隨意使用冰箱。
facilities,facilities_washing_machine,3,true,洗濯機はありますか？,洗濯機は1階のランドリールームにあります。1回200円です。洗剤は自動投入されます。,Do you have a washing machine?,We have a washing machine in the laundry room on the 1st floor. It costs 200 yen per use. Detergent is automatically dispensed.,Y a-t-il une machine à laver ?,"Nous avons une machine à laver dans la buanderie au 1er étage. 200 yens par utilisation. La lessive est automatique.",有洗衣機嗎？,我們在一樓的洗衣房有洗衣機。每次使用費用為200日元。洗滌劑會自動投入。
location,location_nearest_station,5,true,最寄り駅はどこですか？,最寄り駅は京都駅です。徒歩10分です。バス停も近くにあります。,What is the nearest station?,The nearest station is Kyoto Station. It's a 10-minute walk. There is also a bus stop nearby.,Quelle est la gare la plus proche ?,La gare la plus proche est la gare de Kyoto. 10 minutes à pied. Il y a aussi un arrêt de bus à proximité.,最近的車站在哪裡？,最近的車站是京都站。步行10分鐘。附近也有公車站。
location,location_convenience_store,4,true,近くにコンビニはありますか？,徒歩2分の場所にセブンイレブンがあります。24時間営業です。,Is there a convenience store nearby?,There is a 7-Eleven within a 2-minute walk. It's open 24 hours.,Y a-t-il un konbini à proximité ?,Il y a un 7-Eleven à 2 minutes à pied. Ouvert 24h/24.,附近有便利商店嗎？,步行2分鐘處有7-Eleven。24小時營業。
location,location_tourist_attractions,4,true,観光地へのアクセスは？,清水寺まではバスで15分、金閣寺まではバスで30分です。バス停は徒歩3分の場所にあります。,How can I get to tourist attractions?,"It's a 15-minute bus ride to Kiyomizu-dera Temple and 30 minutes to Kinkaku-ji Temple. The bus stop is a 3-minute walk away.",Comment aller aux sites touristiques ?,"15 minutes en bus pour le temple Kiyomizu-dera et 30 minutes pour le temple Kinkaku-ji. L'arrêt de bus est à 3 minutes à pied.",如何前往旅遊景點？,"乘坐巴士到清水寺需15分鐘,到金閣寺需30分鐘。公車站步行3分鐘即可到達。"
trouble,trouble_lost_key,5,true,鍵をなくしてしまいました,すぐにフロントまでご連絡ください。スペアキーをお渡しします。紛失の場合は3000円の実費をご負担いただきます。,I lost my key,Please contact the front desk immediately. We will give you a spare key. In case of loss you will be charged 3000 yen for the actual cost.,J'ai perdu ma clé,Veuillez contacter la réception immédiatement. Nous vous remettrons une clé de rechange. En cas de perte 3000 yens vous seront facturés.,我丟了鑰匙,"請立即聯繫前台。我們會給您備用鑰匙。如果遺失,您將需要支付3000日元的實際費用。"
